1       8
1090.93      1099.23      10
1106.63      1119.82       7
1142.66      1155.05       4
1179.56      1183.58       5
1248.85      1262.25       7
1324.27      1328.59       8
1378.18      1382.76       4
36       5
443.55      447.24       4
483.80      488.35       8
499.20      511.93       9
528.34      539.90       8
600.12      612.68       9
679.98      683.42       2
37       8
402.71      406.87       3
478.70      492.04       1
583.55      593.89       7
651.81      664.61       5
725.40      736.88       8
748.00      761.88       9
818.80      833.37       7
839.24      851.31       4
866.21      872.99       6
959.71      965.44       7
1055.50      1066.82       5
1078.36      1093.03      10
1155.27      1162.60       3
38       4
474.89      478.97       5
529.40      542.20       2
574.44      581.30       4
651.72      656.07       5
674.85      679.21       4
758.97      766.34       2
821.48      833.27      10
922.17      926.18       8
39       2
447.64      458.78       7
486.03      490.22       8
526.36      535.12       2
624.04      631.36       4
725.43      729.88       5
823.58      834.10       6
907.76      921.63      10
40       2
381.59      390.52       8
489.72      494.40       6
557.46      564.68       4
587.01      596.79       1
605.11      620.55       3
662.14      676.41       1
754.24      763.73       2
794.61      804.52       7
859.27      863.41       8
924.64      929.05       3
41       4
450.50      457.36       9
496.20      507.98       1
572.11      582.53       4
632.09      635.92       5
684.51      699.39       9
42       1
463.51      473.61       4
502.95      507.59       8
564.57      575.44       1
596.89      605.72      10
651.53      654.93       8
668.68      672.77       4
763.37      775.47       7
788.84      800.52       1
806.90      816.42       2
822.73      834.31       6
869.89      878.41       1
916.83      928.36       4
1008.54      1018.62      10
1096.19      1104.73       1
1110.52      1118.82      10
43       1
450.15      460.87       7
537.49      549.93       4
643.51      647.94       5
687.25      697.95       8
767.25      771.41       4
840.05      854.40       3
870.40      884.06       9
901.87      906.53      10
976.84      985.08       1
1067.71      1080.69       9
1138.11      1142.74      10
1195.44      1199.18       8
1216.21      1220.49       3
1290.96      1303.51       7
1349.08      1361.67       3
44       3
398.92      403.55       2
483.30      491.35       8
512.21      524.32       9
580.17      584.45      10
662.84      667.04       9
699.25      711.21       8
807.36      818.83       5
868.58      877.33       1
893.62      902.45       5
45       2
417.09      429.63       6
524.01      529.58       9
535.86      551.99       5
631.04      644.68       9
690.12      695.01       6
742.40      751.69       5
833.08      847.41       2
893.59      896.85       9
994.34      1006.12       8
1015.29      1028.02       9
46       9
365.53      378.45       1
401.48      411.56       4
471.10      478.49       6
487.20      493.15       3
560.91      565.86       6
616.06      620.47       8
642.80      647.58       7
734.18      748.62       9
825.31      838.73       3
907.41      921.90       1
964.05      975.46       4
47       9
444.96      452.00       4
465.97      480.25       3
551.37      565.61       4
608.65      612.44       5
693.69      706.30      10
743.07      749.52       3
759.38      764.42       6
807.40      812.45       9
909.49      922.97       8
978.54      982.63       6
1048.30      1053.92       3
1131.29      1137.28       6
1155.35      1161.05       9
1184.87      1199.29       5
1248.08      1256.25       3
1308.39      1314.26       6
48       4
441.56      447.74       6
536.84      541.64       9
562.94      568.36       6
629.43      635.98       7
710.03      720.55       1
813.13      824.76       8
837.43      841.34       3
936.50      943.96      10
1026.48      1041.37       7
1047.01      1051.09       8
1080.55      1084.63       6
1131.86      1141.53       1
1155.51      1164.85       6
1172.64      1181.09       1
1224.83      1234.63       6
1248.68      1255.35       4
1298.29      1302.39       5
1337.15      1345.33       1
49       3
374.89      383.60       5
464.12      475.42       7
547.47      560.49       3
658.68      671.45       4
683.79      690.43       9
740.87      744.69       2
822.94      829.58       4
918.28      929.33      10
983.51      987.23       8
1064.86      1078.11       9
1128.42      1132.94      10
1159.71      1173.27       6
1235.15      1248.86       2
50       3
459.75      464.14       8
534.37      538.81       7
619.95      633.94       9
684.61      690.40       6
771.23      780.58       5
868.84      879.94       7
910.18      921.19       1
986.18      995.37       6
1007.34      1019.07       2
1037.38      1049.13      10
1103.11      1117.13       6
1148.22      1153.63       9
51       2
413.94      419.04       3
518.57      525.92      10
577.67      584.39       3
597.35      611.88       4
619.96      626.31       9
631.91      644.06       8
52      10
425.46      428.86       8
442.22      455.98       9
501.35      514.73       8
557.94      562.02       6
589.56      599.22       5
605.30      609.14       4
627.36      633.46       6
53       4
476.67      480.80       5
571.56      580.06       3
663.43      677.14       7
713.06      726.02      10
733.80      741.24       3
54       9
474.23      487.40       1
526.58      537.45       4
574.17      585.36      10
684.14      697.10       6
767.39      778.40       5
813.45      829.51       9
877.84      882.05      10
967.67      976.34       1
1019.71      1027.94       5
1103.65      1119.15       9
1140.78      1147.40       4
1195.34      1201.77       2
1284.79      1289.52       3
1319.94      1334.96       1
55       1
437.37      445.95      10
464.21      468.69       9
487.65      500.76       1
525.13      534.63       2
624.68      629.96       3
714.37      729.68       9
757.27      761.59      10
779.11      782.72       8
798.73      812.10       9
844.51      850.09       6
928.12      941.04       2
1010.54      1015.88       3
1053.19      1068.05       1
1127.47      1138.69       2
1214.51      1225.09      10
1286.59      1294.85       1
1356.10      1364.51       6
56       9
376.96      382.19       6
442.40      448.84       7
517.05      522.61       6
542.85      551.40       1
594.73      604.95       4
675.67      687.76      10
702.43      705.88       8
751.99      755.95       3
837.05      844.83      10
850.99      863.30       6
920.65      925.71       9
977.03      984.35       4
1045.49      1059.71       3
1109.20      1123.23       9
1136.98      1140.72       2
57       1
361.49      370.12       5
400.41      408.22       1
464.88      475.59       2
525.10      530.14       3
547.51      555.00      10
649.25      663.16       6
675.45      688.35       2
714.90      722.17       4
817.49      827.66      10
833.48      840.41       3
889.41      901.84       4
991.67      998.78       6
1023.03      1032.76       5
1048.62      1056.51       1
1106.82      1115.34      10
1128.54      1141.95       7
1227.97      1238.88       2
1337.82      1347.05       7
58       9
400.43      415.72       3
490.01      504.71       7
517.31      528.93       4
603.05      615.32       7
674.91      689.32      10
744.86      749.21       9
810.28      821.77       8
859.20      862.97      10
944.74      953.14       1
59       6
419.94      425.92       3
440.17      445.86       6
467.01      472.62       9
486.04      501.01       7
509.77      514.26       8
591.48      595.40       3
621.36      627.31       6
634.82      648.11       2
740.75      747.55       4
777.23      788.74       1
864.63      875.24       2
968.43      979.32       7
60       9
389.80      404.93       7
461.36      473.87       4
507.10      517.46      10
590.65      605.25       7
670.14      676.39       6
757.78      762.02       8
838.91      842.52      10
848.65      852.74       9
947.56      960.08       8
1022.26      1026.64       4
1103.67      1109.72       6
1117.72      1124.10       4
1180.37      1184.48       5
1277.54      1286.99       3
1308.12      1321.82       1
1354.96      1363.86       6
61       2
394.15      399.24       3
493.80      501.04      10
595.19      608.97       5
672.43      683.28       6
775.45      781.80       7
811.81      816.21       8
881.01      884.62      10
950.44      954.85       9
1010.57      1025.59       3
1107.29      1121.79       7
1179.22      1194.47       3
62       9
452.76      466.69       7
518.66      531.02       5
557.28      568.67       8
582.08      593.59       9
609.73      622.28       1
665.23      677.42       9
711.84      724.85       8
743.20      746.82       3
764.47      779.24       9
63       5
360.67      365.01       4
414.73      428.05       3
505.83      514.56       5
541.91      555.31       2
638.97      642.57       9
740.43      754.69       5
838.15      851.85       2
886.73      893.97       4
969.63      973.72       5
64       6
433.08      439.28       7
511.58      524.00       4
598.58      604.85       9
666.85      673.17       4
709.05      715.94       6
739.48      745.61       4
794.54      807.42       7
904.73      918.96      10
952.49      956.85       9
1008.22      1019.74       1
1034.89      1046.98       8
1129.16      1133.10       4
1199.49      1214.01       3
1275.50      1288.77       4
1311.00      1325.30       3
1407.83      1412.15       8
65       9
470.32      482.89       7
534.73      548.51      10
571.04      574.84       8
660.46      664.35       4
673.46      680.55       9
759.90      772.81       3
861.34      873.82       4
926.98      939.45       3
1036.42      1051.15       4
1117.75      1124.49       9
1175.89      1189.94       3
1237.17      1244.21      10
66       9
410.72      424.68       5
458.73      474.78       9
484.77      489.42      10
508.68      512.52       8
526.98      540.00       9
584.13      597.51       8
678.37      682.41      10
706.70      720.86       7
794.27      807.18       5
885.53      894.26       3
952.39      959.71      10
989.68      997.50       1
1088.81      1098.23       2
67       8
458.19      469.65       1
501.23      509.79      10
574.74      588.25       5
650.08      664.58      10
761.49      774.67       6
790.12      795.84       7
823.62      837.06       3
857.00      861.83       2
922.86      932.23       1
980.00      991.40       4
1060.62      1072.19       1
1147.04      1158.49       8
1193.54      1198.35       7
68       1
420.22      431.73       4
513.36      525.49       3
623.50      637.63       4
676.55      680.39       5
702.88      712.90       6
790.34      796.81       7
823.12      827.32       8
69       4
430.04      443.57       3
513.60      519.01       6
577.44      583.00       9
599.19      613.36       7
686.91      700.46       3
745.44      759.52       9
790.90      797.51       4
70       5
380.30      391.08       6
468.88      474.58       3
563.29      571.89       5
637.69      642.06       4
660.18      666.55       6
683.47      696.55       2
738.63      743.44       3
816.80      824.47      10
848.81      852.61       8
898.26      910.05       5
926.46      938.26       8
1029.89      1033.87       4
1121.62      1131.91      10
1217.71      1221.48       8
71       7
466.77      476.81       2
505.37      518.42       6
560.01      565.42       3
600.29      604.06       8
684.19      687.77      10
708.95      722.12       6
786.47      791.97       9
72       1
376.32      385.09       5
418.66      426.86       3
460.40      464.95       2
541.28      544.72       9
557.83      561.88      10
622.17      625.58       8
640.19      649.01       2
693.13      698.47       3
709.34      722.33       4
801.10      808.18       9
894.97      902.22       4
961.95      968.53       9
1051.67      1056.72       6
1083.89      1090.53       7
1097.93      1104.23       6
73       5
479.76      495.60       9
520.47      533.45       7
583.43      589.58       6
641.28      646.66       3
680.22      684.65       2
730.96      741.96       1
74      10
464.55      475.25       4
518.97      523.22       5
529.16      538.63       3
613.93      618.93       6
667.48      672.30       9
682.58      689.07       4
733.75      738.11       8
75      10
478.68      488.70       2
557.43      561.83       3
603.18      615.85       4
633.21      637.21       5
678.41      691.91       2
790.10      802.32       6
819.44      825.19       3
884.52      899.74       7
918.96      928.39       2
960.35      970.42       7
76       6
478.20      487.27       1
545.51      555.63       4
640.74      653.35       7
663.67      678.34       9
707.69      720.31       8
800.04      812.65       9
881.80      893.12       1
971.82      980.27       5
1072.04      1081.27       3
1088.11      1102.04       7
1154.41      1163.88       2
1244.74      1251.96       4
1270.35      1280.94      10
1289.49      1298.09       1
77       3
376.93      389.08       4
440.84      451.49       1
500.52      511.97       4
567.17      574.48       2
645.78      651.14       3
682.05      687.40       2
729.82      733.07       9
809.78      823.47       5
899.68      911.09       8
951.76      961.15       2
1024.35      1038.70       5
1110.71      1125.45      10
1211.72      1224.96       7
1283.73      1295.82       5
1354.38      1368.44      10
78      10
446.41      450.97       9
513.23      517.64      10
570.36      574.66       9
628.23      641.66       8
689.73      700.38       5
778.44      787.88       6
827.75      834.22       4
888.20      892.39       5
959.68      963.50       4
1007.46      1017.60       1
1090.17      1100.07       2
1189.05      1197.25       8
1240.13      1251.93       9
79       8
406.88      416.95       5
477.30      489.78       2
568.02      578.87      10
640.02      650.12       4
715.79      722.24       6
795.76      805.05       5
884.79      895.73       6
990.46      996.89       7
1053.08      1067.94       3
1089.09      1101.28       4
1181.67      1191.82       1
1255.22      1265.70       7
1362.27      1372.74       1
80       2
399.68      410.72       1
472.52      483.96       2
543.75      548.82       3
611.02      625.28       9
652.01      656.25      10
708.19      721.03       5
817.37      829.84      10
843.97      856.37       5
865.72      876.55       6
927.60      933.35       3
969.28      982.13       1
1002.81      1015.03       8
1043.50      1057.36       9
1084.13      1087.85       2
1151.31      1159.28       8
1207.35      1219.33       9
1315.54      1328.56       3
1376.58      1391.92       9
81       3
424.50      429.42       6
454.23      460.23       7
507.59      521.81      10
574.19      585.86       4
622.90      629.79       9
699.20      703.71      10
725.93      739.18       6
755.24      761.78       7
82       8
370.93      375.28       6
386.54      399.77       2
469.45      482.97       6
569.26      582.10       2
616.13      621.10       3
689.63      695.26       6
721.45      735.29      10
757.84      769.42       4
819.03      829.50       1
880.63      888.91       5
902.51      910.68       3
935.60      944.30       5
950.68      960.67       6
1039.37      1052.69      10
1149.65      1157.51       1
1240.10      1250.73       2
1273.01      1285.06       6
83       8
467.62      480.07       9
508.36      522.64       7
544.06      554.66       1
633.22      641.38      10
653.23      661.40       1
720.24      728.58       5
778.40      790.43       8
871.32      874.74      10
882.94      886.29       8
907.92      915.84       2
939.23      942.92       9
1018.51      1022.00       2
1106.87      1115.25       8
1140.93      1152.02       5
1161.25      1174.12      10
1198.31      1203.15       9
1212.58      1216.59      10
1288.45      1292.65       9
1341.40      1354.89       8
84      10
477.13      491.89       6
503.40      515.98       2
542.57      554.43       6
622.15      634.74       2
720.16      730.11       7
804.86      815.97       2
907.97      912.42       3
976.43      990.73       1
1015.58      1030.99       3
1036.87      1050.71       7
1086.30      1092.39       6
1135.42      1146.22       5
1225.16      1229.29       4
1293.75      1299.89       6
1337.96      1344.24       7
1380.17      1394.77      10
1405.92      1409.44       8
85       6
469.86      478.59       1
507.05      515.81       5
582.07      589.84       1
620.62      630.16       6
649.98      655.10       9
700.58      705.28      10
788.67      801.64       5
809.94      820.47       8
873.52      884.92       1
975.27      986.40       2
1010.94      1016.30       3
1108.04      1122.63       1
86       3
474.36      479.50       6
532.84      539.20       4
587.68      599.49       7
657.11      661.20       8
719.07      723.15       6
803.98      812.48       1
863.35      873.82       8
972.46      976.98       7
1074.56      1089.01      10
1141.97      1153.73       4
1202.52      1206.37       5
87       8
455.72      460.39       6
488.35      494.19       7
501.08      514.31       4
604.27      614.34       1
629.97      641.56       4
648.86      655.23       6
681.89      691.61       1
777.37      789.92       9
823.57      827.99      10
88       4
385.99      389.69       5
413.12      423.53       6
508.74      513.76       3
545.86      551.41       6
562.25      566.76       8
601.93      606.53       6
626.50      639.56      10
664.61      672.37       1
699.62      707.70      10
795.16      799.16       8
869.48      873.52       6
891.89      895.94       8
944.33      956.00       9
1043.56      1057.05       5
1102.07      1111.70       6
1147.97      1153.19       3
1229.68      1243.78       7
89      10
444.24      451.87       3
527.55      540.40       4
582.54      592.87      10
644.14      657.21       5
734.67      738.65       4
817.81      830.71       7
869.29      878.47       2
896.62      908.32      10
982.58      986.19       8
1080.17      1084.01       3
1152.06      1158.63      10
1178.26      1192.35       7
1199.75      1210.84       2
1245.59      1250.32       3
1273.85      1280.89      10
90       8
360.27      364.51       4
396.45      409.70       3
451.47      465.30       4
493.80      504.16      10
526.46      533.89       1
598.75      611.89       3
633.90      638.51       2
665.96      679.92       5
725.53      740.05       2
770.15      780.33       7
879.25      885.25       6
896.18      908.63      10
1003.74      1017.89       5
1107.08      1120.27       2
1138.54      1143.04       3
1213.43      1228.20       7
1286.76      1298.53       4
1323.51      1330.93       2
91      10
374.68      386.10       2
476.17      484.34       8
547.46      558.78       1
601.35      608.89       5
678.56      692.42       9
731.47      743.63       1
759.05      769.42       2
823.60      828.83       3
890.78      903.00       4
970.98      982.72       7
1036.26      1047.68       1
1083.47      1094.18       2
1114.29      1121.39       4
1153.29      1160.59       2
1185.46      1190.29       3
92       9
373.74      377.50       2
395.41      408.90       6
468.00      477.79       5
514.10      525.06       8
544.80      556.06       5
599.27      613.94      10
703.97      707.36       8
754.68      763.38       2
802.19      811.69       7
868.56      882.18      10
928.53      932.36       8
1015.01      1026.71       9
1090.67      1105.79       5
1204.02      1211.90       1
1228.32      1235.88      10
93       6
426.78      439.13      10
491.63      495.67       9
535.09      540.43       6
573.03      587.01      10
603.19      613.78       2
640.03      646.52       4
688.12      700.69       3
737.20      742.91       6
802.35      817.21      10
94       8
368.44      372.56       6
446.03      451.79       7
540.02      544.57       8
617.32      631.01       9
658.22      672.02       7
765.80      781.10       9
837.91      853.47       5
950.11      961.28       6
1018.35      1030.68       2
1101.53      1106.46       3
1122.56      1136.53       7
1193.00      1207.75       9
1247.26      1250.62       2
1286.30      1291.33       3
1388.25      1397.26       5
95       2
461.16      464.85       9
537.62      544.88       4
569.66      573.57       5
618.32      633.23      10
730.64      735.35       9
827.41      832.04      10
871.15      875.15       8
940.07      951.49       9
1013.56      1028.35       3
1062.01      1075.62       4
1097.74      1110.84       7
1153.41      1167.52       3
1177.71      1192.55       7
1249.17      1255.10       6
1294.12      1307.34       2
1388.54      1399.38       7
96       4
456.62      463.61       2
561.16      571.56       7
651.72      664.06      10
741.26      744.61       8
790.66      802.67       9
848.45      855.04       4
899.40      911.49       3
954.39      959.62       2
978.18      983.09       3
993.71      1006.48       4
1092.29      1105.09       3
1148.19      1154.87      10
1250.59      1260.85       4
1335.37      1348.32       3
97       7
464.66      479.02       3
545.37      549.92       2
613.56      624.56       1
688.04      699.13       4
771.62      777.95       6
809.74      819.50       1
854.47      865.47       8
912.61      923.90       5
994.27      1007.73       7
1072.53      1087.37      10
1172.45      1176.21       8
1207.65      1215.77       2
98       2
385.82      400.55       5
424.32      437.46       2
512.85      516.66       9
598.11      609.94       1
619.53      629.10       2
701.16      712.73      10
778.02      786.26       1
884.38      896.07       9
987.00      993.97       4
1003.93      1016.98       7
1033.87      1046.75       5
1082.69      1086.74       4
1112.67      1123.63      10
1141.52      1155.32       5
1237.18      1253.28       9
1266.96      1270.27       2
1314.59      1321.88       4
99      10
440.15      452.80       7
512.89      527.48       3
591.00      603.79       7
654.61      669.04      10
677.33      692.01       6
706.26      710.34       8
737.22      749.83       9
826.93      831.78       6
868.00      873.61       7
916.96      921.33       8
1007.66      1017.97       1
1032.02      1042.35       4
1066.76      1078.84      10
1085.94      1089.90       8
1146.94      1151.28       7
1242.23      1252.95       1
1286.29      1297.49       7
100       9
391.92      396.70       6
427.76      440.72      10
464.45      468.33       8
549.59      561.82       9
622.60      636.18       5
663.13      671.56       1
701.02      708.59       5
741.23      751.57       6
819.38      829.67       5
877.40      890.04      10
926.44      929.98       8
976.18      987.71       1
1085.53      1094.30      10
1118.56      1121.92       8
1134.78      1145.11       5
1192.08      1206.44       2
1237.87      1244.07       4
1279.80      1287.02       6
1307.93      1317.99       5
101       8
442.12      446.54       6
529.46      533.50       8
605.31      609.36       3
678.71      691.62       7
758.49      768.76       2
102       7
455.99      467.66       4
492.51      496.41       5
559.36      569.46       6
661.71      671.31       5
720.06      729.82       3
752.66      765.89       4
837.24      848.96      10
870.27      875.11       9
958.06      962.55      10
103       7
452.29      464.89       5
560.92      571.18       8
597.85      601.97       4
661.40      667.88       9
757.92      761.56       2
793.20      804.39       1
819.58      833.47       3
849.89      853.96       8
104       5
413.01      427.30       9
458.23      473.50       7
544.07      550.49       6
597.08      603.43       7
621.46      635.68       9
665.21      669.71      10
105       4
396.49      408.33      10
450.79      454.54       8
533.75      543.10       2
635.23      646.61       6
729.34      739.82       5
832.28      845.81       2
934.63      938.38       9
989.65      996.32       4
1007.60      1011.47       5
1110.96      1121.08       6
1147.63      1162.00      10
1236.14      1249.22       7
1345.74      1359.37       3
1404.03      1419.22       9
106       8
441.45      450.24       2
491.17      504.51       5
576.69      591.13      10
602.53      609.99       1
685.77      696.45       2
709.19      713.86       3
799.51      806.09      10
876.08      890.24       6
979.29      985.19       7
107       7
413.38      422.65       2
455.13      466.84       6
497.33      505.47       1
572.02      583.39       4
607.49      614.42       9
698.04      712.16       7
807.66      817.74       1
887.17      898.09       8
108       4
406.06      410.13       5
456.98      470.70       2
545.55      556.60      10
655.66      659.87       9
699.41      702.88       2
736.90      744.67       8
758.55      770.19       9
806.31      819.16       3
871.29      886.28       7
953.69      967.20       5
1005.95      1019.41       2
1116.57      1129.69       6
1162.46      1174.78      10
1235.19      1245.35       4
1315.12      1322.17       9
109       2
430.83      443.47       5
484.03      497.39       2
537.13      545.55       8
597.16      601.54       4
609.51      613.17       5
701.17      709.73       1
758.07      770.24       9
809.85      816.59       4
874.27      880.91       6
952.36      957.78       9
1035.50      1039.21       2
1054.63      1059.06       3
1131.93      1139.16      10
1185.52      1199.11       7
1294.46      1308.66      10
1380.34      1392.12       4
110       9
472.60      485.88       1
541.96      552.46       2
563.69      573.72       1
593.41      604.32       2
637.66      642.12       3
734.40      740.34       6
838.44      844.02       9
873.59      885.26       1
111       3
437.63      441.75       8
470.29      480.98       5
540.37      553.44       2
610.60      614.11       9
696.63      703.83       4
727.76      734.66       6
793.44      800.06       4
112      10
365.62      369.25       8
467.37      471.09       3
486.07      489.94       8
526.23      539.53       9
624.45      635.88       8
672.57      676.94       4
113       3
471.86      486.11       4
523.58      535.95       3
633.97      638.29       8
706.62      710.24      10
790.41      802.96       6
838.96      852.38       2
885.45      890.22       3
927.86      941.16       9
953.77      968.85       3
997.16      1004.89      10
1101.55      1113.41       4
